Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo agregado
Loja Shopping/ Ct Comercial;Barra da Tijuca;0;1;0;30;1200.0;800.0;40.0;68.0;Apartamento
Apartamento;Leblon;3;1;1;190;9000.0;3000.0;700.0;66.84;Apartamento
Apartamento;Méier;2;1;0;79;1400.0;560.0;36.0;25.27;Apartamento
Apartamento;Lagoa;3;2;2;110;6000.0;1625.0;290.0;71.95;Apartamento
Apartamento;Copacabana;2;0;0;101;2890.0;1230.0;150.0;42.28;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;150;2400.0;2500.0;557.0;36.38;Apartamento
Box/Garagem;Barra da Tijuca;0;0;0;0;400.0;;;;Apartamento
Conjunto Comercial/Sala;Botafogo;0;1;0;100;11000.0;2800.0;800.0;146.0;Apartamento
Apartamento;Vila da Penha;3;0;1;81;1200.0;260.0;;;Apartamento
Apartamento;Copacabana;3;1;0;160;5000.0;1200.0;350.0;40.94;Apartamento
Flat;Ipanema;2;1;1;100;10000.0;4000.0;500.0;145.0;Apartamento
Apartamento;Barra da Tijuca;2;3;1;210;5500.0;3000.0;6000.0;69.05;Apartamento
Conjunto Comercial/Sala;Santa Teresa;0;0;0;30;2100.0;;;;Apartamento
Apartamento;Barra da Tijuca;3;3;3;169;6000.0;2200.0;871.0;53.67;Apartamento
Loja/Salão;Copacabana;0;0;0;75;12000.0;;470.0;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;99;2400.0;1543.0;338.0;43.24;Apartamento
Apartamento;Vila Isabel;2;0;0;70;1600.0;608.0;;;Apartamento
Apartamento;Ipanema;3;2;1;170;7500.0;1700.0;550.0;57.35;Apartamento
Apartamento;Tijuca;2;1;1;82;1500.0;750.0;66.0;28.24;Apartamento
Loja/Salão;Barra da Tijuca;0;20;0;840;80000.0;15000.0;;;Apartamento
Apartamento;Leblon;1;0;1;45;3000.0;890.0;95.0;88.56;Apartamento
Apartamento;Leblon;4;2;4;200;9500.0;2710.0;1153.0;66.82;Apartamento
Quitinete;Copacabana;1;0;0;33;1300.0;350.0;25.0;50.76;Apartamento
Apartamento;Maracanã;2;0;0;40;800.0;176.0;81.0;26.42;Apartamento
Apartamento;Barra da Tijuca;4;2;1;130;3500.0;1400.0;280.0;39.85;Apartamento
Apartamento;Copacabana;3;1;0;120;5000.0;1300.0;300.0;55.0;Apartamento
Box/Garagem;Centro;0;1;0;0;250.0;;83.0;;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;77;1600.0;820.0;175.0;33.7;Apartamento
Loft;Copacabana;1;0;0;50;3900.0;800.0;20.0;94.4;Apartamento
Apartamento;Tijuca;2;1;0;75;1700.0;880.0;120.0;36.0;Apartamento
Apartamento;Copacabana;3;1;1;260;10000.0;1900.0;4000.0;61.15;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;30;750.0;902.0;;;Apartamento
Apartamento;Copacabana;2;1;0;70;3100.0;1900.0;229.0;74.7;Apartamento
Apartamento;Barra da Tijuca;3;2;1;130;6500.0;2600.0;699.0;75.38;Apartamento
Apartamento;Copacabana;4;0;1;260;4799.0;1200.0;450.0;24.8;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;23;700.0;650.0;;;Apartamento
Apartamento;Tijuca;3;1;0;193;1700.0;850.0;116.0;13.81;Apartamento
Loja/Salão;Copacabana;0;0;0;72;5800.0;;;;Apartamento
Prédio Inteiro;Centro;0;20;0;1439;15000.0;;2527.0;;Apartamento
Apartamento;Leme;1;1;0;50;2550.0;600.0;27.0;63.54;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;300;5000.0;6908.0;1696.0;45.35;Apartamento
Apartamento;Copacabana;3;1;0;300;5000.0;1973.0;500.0;24.91;Apartamento
Apartamento;Barra da Tijuca;2;1;1;80;2500.0;1339.0;187.0;50.32;Apartamento
Apartamento;Ipanema;4;2;1;160;18000.0;1700.0;500.0;126.25;Apartamento
Apartamento;Barra da Tijuca;4;3;4;250;8000.0;2850.0;750.0;46.4;Apartamento
Conjunto Comercial/Sala;Santo Cristo;0;1;0;27;2000.0;600.0;174.0;102.74;Apartamento
Apartamento;Glória;1;0;0;30;1000.0;500.0;20.0;50.67;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;225;6200.0;4600.0;800.0;51.56;Apartamento
Apartamento;Barra da Tijuca;3;2;2;108;4000.0;1500.0;250.0;53.24;Apartamento
Flat;Ipanema;2;1;1;100;8000.0;4300.0;400.0;127.0;Apartamento
Apartamento;Ipanema;3;1;1;120;7000.0;1026.0;;;Apartamento
Apartamento;Lagoa;1;1;0;57;4500.0;1885.0;250.0;116.4;Apartamento
Apartamento;Copacabana;1;0;0;55;3000.0;900.0;100.0;72.73;Apartamento
Apartamento;Barra da Tijuca;4;3;2;240;13000.0;3580.0;648.0;71.78;Apartamento
Casa de Condomínio;Barra da Tijuca;5;5;5;580;15000.0;820.0;10674.0;45.68;Apartamento
Galpão/Depósito/Armazém;Ramos;0;0;0;2700;14000.0;;;;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;0;55;800.0;570.0;162.0;27.85;Apartamento
Flat;Ipanema;2;1;1;100;11000.0;4084.0;640.0;157.24;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;30;1450.0;1499.0;;;Apartamento
Apartamento;Leblon;2;1;1;80;5500.0;1648.0;251.0;92.49;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;2;400;7500.0;1145.0;750.0;23.49;Apartamento
Apartamento;Copacabana;2;0;0;69;2400.0;847.0;116.0;48.74;Apartamento
Apartamento;Barra da Tijuca;4;2;1;140;3700.0;1900.0;330.0;42.36;Apartamento
Apartamento;Humaitá;3;1;0;88;3200.0;790.0;191.0;47.51;Apartamento
Apartamento;Barra da Tijuca;2;1;1;63;2200.0;1800.0;;;Apartamento
Apartamento;Tanque;2;0;0;140;800.0;;28.0;;Apartamento
Casa Comercial;Laranjeiras;27;0;10;1000;13000.0;;900.0;;Apartamento
Apartamento;Vila Isabel;2;1;0;80;1600.0;630.0;65.0;28.69;Apartamento
Casa de Condomínio;Vargem Grande;3;1;1;100;2000.0;200.0;1.0;22.01;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;37;300.0;785.0;108.0;32.24;Apartamento
Quitinete;Centro;1;0;0;32;1100.0;400.0;22.0;47.56;Apartamento
Apartamento;Barra da Tijuca;3;2;1;106;2500.0;1772.0;249.0;42.65;Apartamento
Apartamento;Leblon;4;2;2;230;17900.0;5000.0;600.0;102.17;Apartamento
Apartamento;Humaitá;2;0;0;70;2400.0;700.0;172.0;46.74;Apartamento
Quitinete;Copacabana;1;1;0;35;2200.0;560.0;64.0;80.69;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;50;1500.0;;;;Apartamento
Conjunto Comercial/Sala;Ipanema;0;1;0;26;2700.0;1173.0;;;Apartamento
Apartamento;Barra da Tijuca;3;2;2;230;4200.0;1900.0;350.0;28.04;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;187;5000.0;7183.0;1030.0;70.66;Apartamento
Apartamento;Copacabana;1;0;0;50;1500.0;685.0;110.0;45.9;Apartamento
Apartamento;Ipanema;4;2;2;400;12000.0;8000.0;5000.0;62.5;Apartamento
Apartamento;Ipanema;4;2;1;292;14000.0;2500.0;500.0;58.22;Apartamento
Apartamento;Leblon;1;0;1;57;3750.0;730.0;208.0;82.25;Apartamento
Apartamento;Barra da Tijuca;1;1;1;109;3000.0;1500.0;2289.0;62.28;Apartamento
Prédio Inteiro;Saúde;0;5;0;842;25000.0;;300.0;;Apartamento
Quitinete;Centro;1;0;0;20;850.0;390.0;24.0;63.2;Apartamento
Apartamento;Copacabana;2;0;0;70;2200.0;730.0;148.0;43.97;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;20;359.0;;;;Apartamento
Apartamento;Flamengo;1;0;0;48;1450.0;580.0;67.0;43.69;Apartamento
Apartamento;Pechincha;2;1;0;75;800.0;485.0;;;Apartamento
Conjunto Comercial/Sala;Glória;0;0;0;10;4919.0;;;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;7;0;141;16000.0;3300.0;950.0;143.62;Apartamento
Apartamento;Flamengo;3;1;0;265;6200.0;1300.0;625.0;30.66;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;105;2500.0;895.0;160.0;33.86;Apartamento
Loja/Salão;Barra da Tijuca;0;0;0;210;65000.0;;;;Apartamento
Apartamento;Catumbi;2;1;0;53;650.0;502.0;;;Apartamento
Apartamento;Tijuca;3;1;1;150;3000.0;1578.0;180.0;31.72;Apartamento
Conjunto Comercial/Sala;Ipanema;0;0;0;40;1200.0;4500.0;800.0;162.5;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1500.0;792.0;95.0;34.1;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;24;700.0;279.0;27.0;41.92;Apartamento
Apartamento;Tijuca;2;0;0;95;1300.0;680.0;129.0;22.2;Apartamento
Apartamento;Botafogo;2;1;1;78;4315.0;1105.0;187.0;71.88;Apartamento
Apartamento;Barra da Tijuca;2;2;2;111;6000.0;3500.0;704.0;91.93;Apartamento
Apartamento;Rio Comprido;2;1;1;52;1500.0;520.0;;;Apartamento
Loja/Salão;Grajaú;0;1;0;46;2000.0;;223.0;;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;86;2100.0;1050.0;135.0;38.2;Apartamento
Apartamento;Glória;1;0;0;30;1400.0;450.0;30.0;62.67;Apartamento
Conjunto Comercial/Sala;Botafogo;0;0;0;180;6000.0;3163.0;1123.0;57.14;Apartamento
Galpão/Depósito/Armazém;Campo Grande;0;4;0;1601;27217.0;4418.0;960.0;20.36;Apartamento
Apartamento;Barra da Tijuca;3;1;1;120;2900.0;2150.0;388.0;45.32;Apartamento
Conjunto Comercial/Sala;Botafogo;0;42;0;2260;316400.0;77184.0;12181.0;179.54;Apartamento
Apartamento;Tijuca;2;1;2;121;2300.0;1000.0;;;Apartamento
Galpão/Depósito/Armazém;Bonsucesso;0;3;0;427;10000.0;;1353.0;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;72;1800.0;892.0;187.0;39.99;Apartamento
Apartamento;São Francisco Xavier;2;0;0;58;1000.0;190.0;;;Apartamento
Apartamento;Campo Grande;2;0;0;70;750.0;;;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;68;1500.0;2210.0;489.0;61.75;Apartamento
Loja/Salão;Centro;0;0;0;30;10000.0;;;;Apartamento
Apartamento;Botafogo;3;1;0;200;3800.0;1350.0;332.0;27.41;Apartamento
Apartamento;Flamengo;3;0;1;183;5500.0;1450.0;275.0;39.48;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;35;700.0;840.0;226.0;50.46;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;30;900.0;450.0;;;Apartamento
Galpão/Depósito/Armazém;Taquara;0;50;0;1942;35000.0;;6000.0;;Apartamento
Casa de Condomínio;Barra da Tijuca;4;10;0;771;25000.0;1550.0;147.0;34.63;Apartamento
Apartamento;Leblon;2;0;0;80;3200.0;1200.0;247.0;58.09;Apartamento
Loja Shopping/ Ct Comercial;Recreio dos Bandeirantes;0;1;0;34;1800.0;620.0;;;Apartamento
Loja/Salão;Itanhangá;0;6;0;220;4800.0;;60.0;;Apartamento
Conjunto Comercial/Sala;Centro;0;1;0;203;6300.0;4865.0;1142.0;60.63;Apartamento
Apartamento;Ipanema;5;5;4;375;18000.0;8000.0;2500.0;76.0;Apartamento
Apartamento;Barra da Tijuca;1;1;0;68;2000.0;800.0;230.0;44.56;Apartamento
Apartamento;Cosmos;2;1;0;42;800.0;260.0;;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;108;1700.0;1368.0;468.0;32.74;Apartamento
Apartamento;Copacabana;3;0;0;110;4800.0;900.0;;;Apartamento
Apartamento;Ipanema;1;1;0;46;4000.0;651.0;78.0;102.8;Apartamento
Apartamento;Vila Isabel;2;1;0;72;1500.0;450.0;90.0;28.33;Apartamento
Conjunto Comercial/Sala;Centro;0;4;0;972;26000.0;15500.0;3800.0;46.6;Apartamento
Apartamento;Campo Grande;2;1;0;55;600.0;196.0;;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;161;2190.0;610.0;366.0;19.66;Apartamento
Apartamento;Engenho Novo;2;1;1;68;700.0;765.0;14.0;21.75;Apartamento
Apartamento;Santa Teresa;2;0;0;70;1500.0;510.0;;;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;86;1150.0;790.0;598.0;29.51;Apartamento
Apartamento;Jardim Botânico;3;2;1;172;3700.0;1500.0;;;Apartamento
Conjunto Comercial/Sala;Vila Isabel;0;1;0;25;700.0;656.0;83.0;57.56;Apartamento
Apartamento;Leblon;2;1;0;80;5600.0;1600.0;300.0;93.75;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;37;790.0;1380.0;127.0;62.08;Apartamento
Apartamento;Copacabana;1;0;0;50;2300.0;530.0;75.0;58.1;Apartamento
Loja/Salão;Campo Grande;0;1;0;30;1500.0;;;;Apartamento
Apartamento;Tijuca;3;0;0;116;2000.0;730.0;1160.0;33.53;Apartamento
Apartamento;Ipanema;2;1;1;110;5500.0;1300.0;240.0;64.0;Apartamento
Casa de Vila;Pechincha;2;1;0;98;1350.0;330.0;36.0;17.51;Apartamento
Casa de Condomínio;Jacarepaguá;3;3;0;150;3000.0;50.0;71.0;20.81;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;33;1300.0;346.0;;;Apartamento
Conjunto Comercial/Sala;Centro;0;12;0;2612;195900.0;44404.0;9011.0;95.45;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;80;1500.0;1069.0;319.0;36.1;Apartamento
Apartamento;Copacabana;3;1;0;135;4800.0;840.0;250.0;43.63;Apartamento
Apartamento;Andaraí;3;0;1;85;1700.0;380.0;35.0;24.88;Apartamento
Apartamento;Pavuna;2;0;0;50;650.0;350.0;;;Apartamento
Apartamento;Copacabana;1;0;0;20;2000.0;260.0;150.0;120.5;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;2;1;132;1900.0;1100.0;110.0;23.56;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;2000.0;1230.0;270.0;50.0;Apartamento
Apartamento;Catete;2;0;0;70;2200.0;600.0;90.0;41.29;Apartamento
Apartamento;Copacabana;2;0;0;73;2300.0;700.0;;;Apartamento
Apartamento;Penha;2;0;0;65;1000.0;142.0;;;Apartamento
Apartamento;Guadalupe;2;0;0;70;800.0;;;;Apartamento
Apartamento;Flamengo;3;1;1;250;8000.0;1600.0;729.0;41.32;Apartamento
Apartamento;Grajaú;2;0;0;64;1100.0;613.0;;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;80;2500.0;1000.0;120.0;45.25;Apartamento
Conjunto Comercial/Sala;Tijuca;0;1;0;41;1600.0;1298.0;;;Apartamento
Flat;Ipanema;2;2;1;100;9000.0;4100.0;4419.0;175.19;Apartamento
Quitinete;Flamengo;1;0;0;25;1250.0;460.0;;;Apartamento
Apartamento;Lagoa;3;1;0;101;4500.0;1465.0;282.0;61.85;Apartamento
Apartamento;Laranjeiras;3;1;1;105;3800.0;1000.0;150.0;47.14;Apartamento
Casa;Recreio dos Bandeirantes;2;3;1;130;3200.0;;300.0;;Casa
Casa Comercial;Vila Isabel;0;3;0;140;12000.0;;489.0;;Apartamento
Apartamento;Ipanema;2;1;1;80;3500.0;1000.0;206.0;58.82;Apartamento
Apartamento;Barra da Tijuca;2;1;1;93;2550.0;990.0;170.0;39.89;Apartamento
Apartamento;Ipanema;2;1;2;170;10500.0;2307.0;215.0;76.6;Apartamento
Apartamento;Leme;3;1;0;79;3000.0;1350.0;200.0;57.59;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;3;0;87;3500.0;3124.0;720.0;84.41;Apartamento
Apartamento;Senador Vasconcelos;1;1;1;50;800.0;180.0;;;Apartamento
Apartamento;Vila Isabel;2;2;0;62;1500.0;775.0;50.0;37.5;Apartamento
Apartamento;Freguesia (Jacarepaguá);1;1;0;60;950.0;583.0;140.0;27.88;Apartamento
