Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo agregado
Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;56.5;Apartamento
Casa;Jardim Botânico;2;0;1;100;7000.0;;;;Casa
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;150;5200.0;4020.0;1111.0;68.87;Apartamento
Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;80.67;Apartamento
Apartamento;Higienópolis;1;0;0;48;800.0;230.0;;;Apartamento
Apartamento;Vista Alegre;3;1;0;70;1200.0;;;;Apartamento
Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;32.36;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;;;;Apartamento
Casa de Condomínio;Ramos;2;2;0;65;1000.0;;;;Apartamento
Conjunto Comercial/Sala;Centro;0;3;0;695;35000.0;19193.0;3030.0;82.34;Apartamento
Apartamento;Centro;1;0;0;36;1200.0;;;;Apartamento
Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;31.66;Apartamento
Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;21.88;Apartamento
Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;65.28;Apartamento
Quitinete;Copacabana;1;0;0;27;1800.0;501.0;;;Apartamento
Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;65.03;Apartamento
Prédio Inteiro;Botafogo;0;0;0;536;28000.0;;3563.0;;Apartamento
Flat;Botafogo;3;1;1;80;3800.0;1040.0;;;Apartamento
Casa de Condomínio;Taquara;3;1;1;115;2000.0;;;;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;23.67;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;36.36;Apartamento
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;24.89;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;;;Apartamento
Apartamento;Olaria;3;1;0;68;1000.0;670.0;;;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;;;Apartamento
Flat;Leblon;1;0;0;56;4500.0;1900.0;1500.0;141.07;Apartamento
Conjunto Comercial/Sala;São Cristóvão;0;1;0;25;1100.0;600.0;;;Apartamento
Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;76.5;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;32.23;Apartamento
Loja/Salão;Campo Grande;0;1;0;35;1300.0;950.0;;;Apartamento
Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;35.43;Apartamento
Casa;Campo Grande;4;1;2;400;12000.0;;;;Casa
Apartamento;Botafogo;2;1;0;76;2500.0;740.0;;;Apartamento
Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;33.99;Apartamento
Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;42.78;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;700.0;;;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;;;Apartamento
Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;50.18;Apartamento
Conjunto Comercial/Sala;Centro;0;5;0;1306;117540.0;19486.0;;;Apartamento
Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;64.19;Apartamento
Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;28.88;Apartamento
Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;43.36;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;50;1500.0;250.0;;;Apartamento
Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;47.54;Apartamento
Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;63.18;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;460;7500.0;4797.0;2019.0;31.12;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;1170;140456.0;23409.0;5852.0;145.06;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;;;Apartamento
Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;41.94;Apartamento
Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;37.78;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;36.3;Apartamento
Conjunto Comercial/Sala;Centro;0;1;0;70;1900.0;1080.0;251.0;46.16;Apartamento
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;50;4000.0;1160.0;200.0;107.2;Apartamento
Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;42.22;Apartamento
Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;77.86;Apartamento
Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;52.82;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;35.14;Apartamento
Loja/Salão;Copacabana;0;0;0;34;2000.0;735.0;;;Apartamento
Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;;;Apartamento
Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;60.35;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;0;0;84;1500.0;1546.0;;;Apartamento
Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0;80.52;Apartamento
Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;54.28;Apartamento
Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;27.49;Apartamento
Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;34.21;Apartamento
Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;70.78;Apartamento
Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;28.86;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;36.82;Apartamento
Conjunto Comercial/Sala;Méier;0;0;0;32;700.0;380.0;56.0;35.5;Apartamento
Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;34.51;Apartamento
Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;1;2850.0;2050.0;;;Apartamento
Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;80.71;Apartamento
Casa;Méier;2;0;0;51;1500.0;50.0;;;Casa
Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;;970.0;68.0;;Apartamento
Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;27.67;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;33;700.0;1010.0;56.0;53.52;Apartamento
Conjunto Comercial/Sala;Jardim Botânico;0;1;0;24;2500.0;682.0;112.0;137.25;Apartamento
Galpão/Depósito/Armazém;Vargem Grande;0;6;0;2236;40000.0;;;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;850.0;719.0;;;Apartamento
Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0;57.53;Casa
Casa Comercial;Botafogo;0;0;0;140;7000.0;;137.0;;Apartamento
Galpão/Depósito/Armazém;Maria da Graça;0;3;0;1000;9800.0;;820.0;;Apartamento
Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;;;Apartamento
Conjunto Comercial/Sala;Centro;0;1;0;390;25397.0;12090.0;1318.0;99.5;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;320;12000.0;3740.0;1541.0;54.0;Apartamento
Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;59.19;Apartamento
Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;77.25;Apartamento
Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;42.02;Apartamento
Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;24.31;Apartamento
Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;51.11;Apartamento
Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;68.66;Apartamento
Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;68.65;Apartamento
Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;55.02;Apartamento
Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;;;Apartamento
Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;48.12;Apartamento
Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;27.6;Apartamento
Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;;;Apartamento
Quitinete;Centro;0;0;0;30;800.0;505.0;;;Apartamento
Apartamento;Jacarepaguá;2;1;1;69;2000.0;780.0;;;Apartamento
Apartamento;Ipanema;3;1;1;120;7000.0;1800.0;370.0;76.42;Apartamento
Loja/Salão;Barra da Tijuca;0;0;0;36;5300.0;2114.0;839.0;229.25;Apartamento
Apartamento;Barra da Tijuca;2;1;1;78;2750.0;1300.0;138.0;53.69;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;95;3800.0;1688.0;392.0;61.89;Apartamento
Apartamento;Itanhangá;2;1;0;60;1000.0;450.0;150.0;26.67;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400.0;1700.0;135.0;47.06;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;310;17050.0;5950.0;1917.0;80.38;Apartamento
Apartamento;Humaitá;2;1;0;86;4000.0;1259.0;188.0;63.34;Apartamento
Quitinete;Flamengo;0;0;0;28;1000.0;581.0;53.0;58.36;Apartamento
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;38.76;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;145;9000.0;6400.0;;;Apartamento
Apartamento;Praça Seca;2;0;0;80;1000.0;;;;Apartamento
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;37.3;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;142;4000.0;5024.0;12415.0;150.98;Apartamento
Conjunto Comercial/Sala;Botafogo;0;3;0;241;22000.0;9384.0;;;Apartamento
Casa de Vila;Piedade;2;1;0;70;1300.0;;;;Apartamento
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;21.22;Apartamento
Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800.0;2535.0;3900.0;35.38;Apartamento
Galpão/Depósito/Armazém;Bonsucesso;0;10;0;13010;100000.0;;12000.0;;Apartamento
Apartamento;Ipanema;3;1;1;145;8000.0;14768.0;4394.0;187.32;Apartamento
Apartamento;Olaria;2;1;0;53;1100.0;160.0;;;Apartamento
Quitinete;Copacabana;1;0;0;29;1200.0;460.0;;;Apartamento
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;42.14;Apartamento
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;70.81;Apartamento
Apartamento;Lagoa;3;1;2;250;13900.0;2500.0;;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;40;1500.0;637.0;84.0;55.52;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;48;1400.0;729.0;157.0;47.62;Apartamento
Conjunto Comercial/Sala;Santo Cristo;0;64;0;4800;312000.0;92000.0;;;Apartamento
Conjunto Comercial/Sala;Largo do Machado;0;0;0;30;800.0;592.0;162.0;51.8;Apartamento
Apartamento;Leblon;3;2;1;147;7500.0;1028.0;247.0;59.69;Apartamento
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;68.81;Apartamento
Apartamento;Ipanema;3;1;1;150;25000.0;1616.0;4255.0;205.81;Apartamento
Apartamento;Barra da Tijuca;4;3;2;220;7500.0;3911.0;716.0;55.12;Apartamento
Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;47.66;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;55;900.0;1240.0;240.0;43.27;Apartamento
Apartamento;Jardim Carioca;2;1;0;55;1350.0;430.0;47.0;33.22;Apartamento
Casa;Maracanã;8;3;5;259;7000.0;;;;Casa
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;69.54;Apartamento
Apartamento;Catete;2;0;0;75;3350.0;455.0;;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;24.71;Apartamento
Casa;Benfica;1;0;0;33;1200.0;;;;Casa
Quitinete;Glória;1;0;0;16;1400.0;300.0;210.0;119.38;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;212;13000.0;4700.0;1350.0;89.86;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;490.0;450.0;525.0;66.59;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;20;445.0;791.0;1041.0;113.85;Apartamento
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;;;Apartamento
Apartamento;Vila Isabel;1;0;0;37;1000.0;285.0;24.0;35.38;Apartamento
Galpão/Depósito/Armazém;Quintino Bocaiúva;0;0;0;550;4300.0;;;;Apartamento
Conjunto Comercial/Sala;Campo Grande;0;0;0;20;800.0;;;;Apartamento
Conjunto Comercial/Sala;São Francisco Xavier;0;1;0;27;1500.0;580.0;;;Apartamento
Apartamento;Copacabana;3;0;0;150;5500.0;1780.0;420.0;51.33;Apartamento
Apartamento;Lagoa;3;1;1;127;5000.0;1540.0;370.0;54.41;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;33.19;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;1300.0;935.0;217.0;76.62;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;28;800.0;550.0;;;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;45;1600.0;1100.0;350.0;67.78;Apartamento
Apartamento;Barra da Tijuca;3;2;1;128;3000.0;1384.0;324.0;36.78;Apartamento
Terreno Padrão;Barra da Tijuca;0;0;0;1110;140000.0;;;;Apartamento
Apartamento;Gávea;3;1;1;160;8000.0;2000.0;;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;154;3900.0;5100.0;559.0;62.07;Apartamento
Apartamento;Copacabana;3;1;1;200;6200.0;1800.0;420.0;42.1;Apartamento
Apartamento;Barra da Tijuca;2;1;0;58;1500.0;666.0;106.0;39.17;Apartamento
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;70.2;Apartamento
Apartamento;Barra da Tijuca;4;2;3;320;5500.0;2700.0;800.0;28.12;Apartamento
Apartamento;Rocha Miranda;2;1;0;50;1100.0;;;;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;28.69;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;21;1200.0;588.0;;;Apartamento
Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;500.0;600.0;85.0;53.86;Apartamento
Apartamento;Ipanema;2;0;2;52;10000.0;3689.0;393.0;270.81;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;48;2000.0;1064.0;;;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;120;4000.0;1400.0;1500.0;57.5;Apartamento
Apartamento;Leblon;4;4;4;380;40000.0;4700.0;1500.0;121.58;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;35;1000.0;322.0;33.0;38.71;Apartamento
Conjunto Comercial/Sala;Tijuca;0;1;0;20;1000.0;690.0;58.0;87.4;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;50;4500.0;1172.0;1327.0;139.98;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;104;2200.0;740.0;258.0;30.75;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;120;3000.0;1380.0;509.0;40.74;Apartamento
Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;63.01;Apartamento
Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;21.4;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;8;0;380;18000.0;5276.0;1851.0;66.12;Apartamento
Apartamento;Botafogo;4;1;1;190;5500.0;1720.0;350.0;39.84;Apartamento
Quitinete;Catete;0;0;0;20;700.0;500.0;28.0;61.4;Apartamento
Apartamento;Ipanema;4;6;1;700;65000.0;8860.0;5699.0;113.66;Apartamento
Apartamento;Méier;2;0;0;56;899.0;402.0;135.0;25.64;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;270;7000.0;2800.0;1249.0;40.92;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;26.11;Apartamento
Apartamento;Lagoa;3;1;2;105;3600.0;1100.0;281.0;47.44;Apartamento
Apartamento;Copacabana;3;1;1;500;15000.0;2580.0;366.0;35.89;Apartamento
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;27.01;Apartamento
Apartamento;Botafogo;1;0;0;35;1500.0;470.0;50.0;57.71;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;24;700.0;628.0;1120.0;102.0;Apartamento
Conjunto Comercial/Sala;Tijuca;0;0;0;21;1000.0;520.0;116.0;77.9;Apartamento
Apartamento;Barra da Tijuca;1;1;1;65;2350.0;;;;Apartamento
Apartamento;Ipanema;3;3;1;220;22000.0;4000.0;1200.0;123.64;Apartamento
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;42.4;Apartamento
Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;;;Apartamento
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;22.69;Apartamento
Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;50.24;Apartamento
Apartamento;Leblon;2;1;1;115;7500.0;980.0;270.0;76.09;Apartamento
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;71.14;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;;;Apartamento
Apartamento;Barra da Tijuca;4;4;4;392;30000.0;7000.0;3000.0;102.04;Apartamento
Casa Comercial;Botafogo;0;0;0;220;16000.0;;;;Apartamento
Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;;;Apartamento
Apartamento;Flamengo;1;0;0;40;1900.0;430.0;54.0;59.6;Apartamento
Box/Garagem;Tijuca;0;0;0;0;380.0;;;;Apartamento
Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;;;Apartamento
Apartamento;Copacabana;3;2;1;250;7000.0;1500.0;434.0;35.74;Apartamento
Flat;Copacabana;1;1;0;63;3600.0;1215.0;;;Apartamento
Flat;Leblon;1;0;1;50;4500.0;1300.0;150.0;119.0;Apartamento
Apartamento;Ipanema;3;2;1;200;15000.0;1500.0;572.0;85.36;Apartamento
Apartamento;Copacabana;3;1;0;140;3700.0;1347.0;;;Apartamento
Loja/Salão;Maracanã;0;0;0;85;6500.0;;385.0;;Apartamento
Apartamento;Copacabana;2;0;0;50;2500.0;750.0;760.0;80.2;Apartamento
Casa;Jardim Carioca;3;2;1;135;3000.0;;;;Casa
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;58;2100.0;495.0;140.0;47.16;Apartamento
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;43.69;Apartamento
Conjunto Comercial/Sala;Copacabana;0;2;0;210;25200.0;6300.0;1890.0;159.0;Apartamento
Quitinete;Centro;0;0;0;28;700.0;400.0;16.0;39.86;Apartamento
Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;74.12;Apartamento
Conjunto Comercial/Sala;Tijuca;0;1;0;32;900.0;450.0;;;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;102;1850.0;882.0;;;Apartamento
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;;;Apartamento
Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;49.98;Apartamento
Apartamento;Copacabana;4;1;2;210;13000.0;2200.0;650.0;75.48;Apartamento
Apartamento;Maracanã;3;2;3;158;2400.0;1265.0;;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;45.88;Apartamento
Apartamento;Laranjeiras;5;2;1;400;9000.0;3000.0;;;Apartamento
Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;38.27;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;33.96;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;24;650.0;530.0;170.0;56.25;Apartamento
Apartamento;São Conrado;4;4;4;510;25000.0;6600.0;;;Apartamento
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;;;Apartamento
Apartamento;Ipanema;3;1;1;126;5500.0;1400.0;2000.0;70.63;Apartamento
Casa;Lins de Vasconcelos;2;0;0;40;950.0;;50.0;;Casa
Apartamento;Leblon;4;2;2;250;17500.0;4990.0;620.0;92.44;Apartamento
Conjunto Comercial/Sala;Botafogo;0;8;0;463;92600.0;11843.0;14355.0;256.58;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;190;4500.0;886.0;;;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;185;3000.0;10046.0;462.0;73.02;Apartamento
Conjunto Comercial/Sala;Centro;0;4;0;230;7000.0;3130.0;1202.0;49.27;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;55;1760.0;1420.0;;;Apartamento
Apartamento;Copacabana;4;2;2;436;17000.0;3900.0;1000.0;50.23;Apartamento
Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;80;2800.0;560.0;;;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;3;2;173;3200.0;1800.0;;;Apartamento
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;;;Apartamento
Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;39.77;Apartamento
Casa de Condomínio;Barra da Tijuca;4;2;4;595;30000.0;2500.0;2510.0;58.84;Apartamento
Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;57.97;Apartamento
Loja/Salão;Copacabana;0;0;0;13;1500.0;520.0;95.0;162.69;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;95;15000.0;1800.0;1000.0;187.37;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;150;4000.0;2000.0;700.0;44.67;Apartamento
Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;267;6500.0;700.0;3308.0;39.36;Apartamento
Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;32.82;Apartamento
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;25;1000.0;450.0;;;Apartamento
Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;;;Apartamento
Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;78.57;Apartamento
Apartamento;Cidade Nova;1;0;0;46;1000.0;;;;Apartamento
Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;24.09;Apartamento
Loja/Salão;Barra da Tijuca;0;1;0;50;1100.0;1338.0;;;Apartamento
Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;52.28;Apartamento
Quitinete;Copacabana;1;0;0;23;1000.0;562.0;;;Apartamento
Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;;;Apartamento
Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;43.44;Apartamento
Apartamento;Olaria;1;0;0;39;800.0;;;;Apartamento
Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;62.9;Apartamento
Apartamento;Campo Grande;2;0;0;60;800.0;380.0;;;Apartamento
Apartamento;Ipanema;4;1;1;170;12000.0;1210.0;4222.0;102.54;Apartamento
Casa;Tijuca;4;1;1;191;4000.0;300.0;;;Casa
Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;51.26;Apartamento
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;30.17;Apartamento
Casa de Condomínio;São Conrado;3;2;1;250;5500.0;750.0;500.0;27.0;Apartamento
Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;46.51;Apartamento
Loja/Salão;Barra da Tijuca;0;8;0;500;38000.0;;4971.0;;Apartamento
Apartamento;Leblon;3;0;1;85;8500.0;;1719.0;;Apartamento
Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;21.44;Apartamento
Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;69.69;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;100;2800.0;1500.0;490.0;47.9;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;;;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;27.37;Apartamento
Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;69.17;Apartamento
Conjunto Comercial/Sala;Cidade Nova;0;20;0;2160;129600.0;60480.0;;;Apartamento
Apartamento;Taquara;2;2;0;55;790.0;350.0;;;Apartamento
Quitinete;Centro;1;0;0;33;990.0;463.0;25.0;44.79;Apartamento
Apartamento;Copacabana;2;0;0;54;1800.0;590.0;;;Apartamento
Conjunto Comercial/Sala;Centro;0;10;0;1136;136370.0;22728.0;5682.0;145.05;Apartamento
Casa Comercial;Glória;0;0;0;139;16740.0;1953.0;139.0;135.48;Apartamento
Flat;Arpoador;1;1;1;55;3000.0;1865.0;337.0;94.58;Apartamento
Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;69.21;Apartamento
Apartamento;Copacabana;5;1;3;390;10000.0;1000.0;1000.0;30.77;Apartamento
Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0;34.11;Apartamento
Apartamento;Tomás Coelho;2;0;0;70;800.0;;;;Apartamento
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;39.4;Apartamento
Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0;30.9;Apartamento
Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;28.95;Apartamento
Apartamento;Água Santa;2;1;0;50;850.0;280.0;12.0;22.84;Apartamento
Apartamento;Botafogo;2;1;1;79;4315.0;1110.0;187.0;71.04;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;80;1600.0;615.0;3.0;27.72;Apartamento
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0;44.97;Apartamento
Apartamento;Jardim Oceânico;4;4;3;190;5700.0;1069.0;808.0;39.88;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;0;84;1500.0;900.0;;;Apartamento
Apartamento;São Cristóvão;2;0;0;50;1000.0;600.0;;;Apartamento
Quitinete;Copacabana;1;0;0;26;1400.0;370.0;21.0;68.88;Apartamento
Loja/Salão;Recreio dos Bandeirantes;0;2;0;140;3990.0;1410.0;968.0;45.49;Apartamento
Prédio Inteiro;Campo Grande;0;0;0;650;35000.0;;;;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;4;1000;30000.0;2695.0;23715.0;56.41;Apartamento
Conjunto Comercial/Sala;Centro;0;0;0;120;3000.0;1380.0;507.0;40.72;Apartamento
Apartamento;Ilha do Governador;3;1;0;83;1500.0;440.0;132.0;24.96;Apartamento
Apartamento;Olaria;2;0;0;90;1000.0;150.0;;;Apartamento
Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0;86.84;Apartamento
